"time","pr","mrso","mrros","evspsbl"
"2026-01",112.223787674156,951.677526229467,7.43432715738051,54.9900040001376
"2026-02",6.60773378819392,923.122903677133,0.121516510424639,67.0379749179119
"2026-03",7.34254185153178,867.619212615184,0.108793309490495,51.029263081
"2026-04",1.93378513588698,823.707216702975,0.0143115139829777,37.2355172941752
"2026-05",4.23200944713642,790.779091859475,0.0518676410006418,33.4131635478116
"2026-06",12.3117957812724,764.098975548377,0.122820668151528,32.199550767109
"2026-07",341.862869946635,855.807315924229,37.104563018217,91.5064486325718
"2026-08",341.873287106864,1032.24504832732,67.4252266359802,110.1095003105
"2026-09",238.841416774085,1125.39279879056,46.0692517551182,104.481024880079
"2026-10",57.6074234180851,1097.64784279848,3.72280174185737,96.4182982163038
"2026-11",4.34252677379775,1000.80672357021,0.0442934624865691,62.8821884150966
"2026-12",74.8026289773406,954.911923139523,3.5811256443944,42.1979443490272
"2027-01",2.08296289633791,954.205057779948,0.0374377566735221,56.9314844688051
"2027-02",46.2123108412925,923.075369027945,2.89855290302599,67.8999956930056
"2027-03",9.83769732447826,871.153138772035,0.170432961678124,56.7291322688107
"2027-04",5.31044394189166,823.681592109876,0.0521564861804162,42.2113993270614
"2027-05",82.4357266665174,813.823429987981,8.88653272131443,81.5957065700786
"2027-06",9.24740353923426,773.365944886819,0.226248067315125,40.7682779819879
"2027-07",257.135791509063,829.092950282953,27.4893969715497,105.058429855853
"2027-08",298.308931424981,954.828345665565,46.4790861397677,111.887768897577
"2027-09",207.065955922008,1045.99867757161,31.395233834281,104.975628177635
"2027-10",107.392247043026,1043.59221942608,7.22998776480101,95.8648756466573
"2027-11",3.12546154764679,1002.83541478866,0.486364996762781,78.0294574549771
"2027-12",9.32241975591594,940.118564703526,0.184375655621477,54.0619119696203
"2028-01",0.11194761335791,893.268634502704,0.00143920529305657,37.6512476555945
"2028-02",4.77957434608243,857.853931916066,0.0460704260992847,35.2317099921493
"2028-03",0.351318811479667,825.555693797576,0.00418797040623565,28.9285040504183
"2028-04",4.00092109020314,796.577295547877,0.0326095662146603,30.5917684845554
"2028-05",6.92621965106355,769.404015174279,0.078994211669749,33.0336468683527
"2028-06",92.2768399352208,773.302494929387,9.2933564578787,79.8413400603749
"2028-07",188.658118087915,796.459677671775,16.6490761360085,96.0853116586804
"2028-08",323.794741532765,923.404475285457,48.1673985744307,103.661871960503
"2028-09",175.273172465677,1000.07861797626,20.4427275696162,109.942211877205
"2028-10",106.499017456372,1030.01985520583,15.6140993871164,94.4563314988045
"2028-11",3.63726065547075,956.269252679287,0.0528393263201558,71.1545506157563
"2028-12",5.35723849241094,897.325630383614,0.0589924776499209,45.7303978073469
"2029-01",0.196534320408466,857.236113719451,0.00125658060941174,32.8001862530073
"2029-02",28.4172478593973,832.152301494892,0.332050003670212,51.0572912746284
"2029-03",0.0056599475562108,798.933764335437,5.77743524559766e-05,31.8312090374093
"2029-04",10.9342094922113,769.802267221304,0.236302713682007,34.6353122458822
"2029-05",14.8775624239533,743.239401792869,0.163645733606516,42.1698407772055
"2029-06",261.141822463833,823.003053322817,23.2425312045122,98.8120019930648
"2029-07",233.218535006745,875.725337101863,24.0512238602745,102.645482067601
"2029-08",329.219124640804,1039.64299754607,61.9812340211446,102.507257556135
"2029-09",151.52332992875,1102.15685096154,21.7791761595156,106.445149335195
"2029-10",39.714204075608,1032.48649558043,3.536838876812,94.3964022400905
"2029-11",4.78257826253241,952.162840231871,0.103949292849096,55.9602435205306
"2029-12",17.1667220097333,903.532364282853,0.251814097529527,36.647843085666
"2030-01",14.5119508202924,877.819584773137,0.210664258002288,45.4466058050457
"2030-02",2.9080247318916,845.145467122396,0.0339954854119503,33.6835440073628
"2030-03",20.7562182326001,818.428172576122,0.217589496313709,49.5219986063603
"2030-04",1.33287087628537,783.605656550481,0.0129842602398362,28.938559038761
"2030-05",18.3618787557577,759.011937850561,0.493162995255694,39.9289772492921
"2030-06",191.955230748863,759.729193271735,16.4244356706849,53.8351192008122
"2030-07",222.946474087075,872.805330716647,25.3837278751934,125.180751355947
"2030-08",231.019250155077,971.326303335337,34.3508198445236,115.065449732356
"2030-09",191.693183380994,1038.13978615785,24.2604107532735,100.864585439558
"2030-10",27.3373390349661,1005.13677509014,1.68174753276582,101.615196655621
"2030-11",24.997397428524,925.542749649439,0.295072865347843,56.8904975320038
"2030-12",4.20280254743386,888.616871369191,0.0970437176050413,43.6595407183631
"2031-01",14.6103075368046,855.407469138121,0.161662563813208,40.8779929166485
"2031-02",18.32817610848,830.577395708133,0.242171176060205,46.5256108720496
"2031-03",9.40088490974631,796.24608592498,0.104397941373581,36.1641063591378
"2031-04",11.1426328432117,765.349106226212,0.11159861198597,43.2413167178311
"2031-05",2.64559663167461,736.747473301032,0.0311086457783771,25.9676939687779
"2031-06",93.1100876929122,730.087506416516,2.64141720428877,62.2873052459909
"2031-07",402.426666417159,870.378792004708,57.3100625778562,103.627892248915
"2031-08",260.559185923194,1043.85375820062,40.5045302386497,110.038413311122
"2031-09",294.724134323769,1118.14168450771,62.2693644562297,89.7381278453395
"2031-10",105.314466181153,1114.82175230369,11.6993431417471,93.1110604782589
"2031-11",26.0430624524815,1028.26701002855,0.63625520391497,74.4423307609395
"2031-12",1.479807866742,968.91215632512,0.0232056462767121,55.1945894927485
"2032-01",0.673760036476018,915.644412309696,0.00662611728973878,36.0557347652502
"2032-02",12.4442382055257,878.733284192208,0.177328829841962,37.8686383060995
"2032-03",1.26710911937344,843.019600110176,0.0130795354275754,36.0138500087487
"2032-04",1.53077227073399,809.599609375,0.01060933982915,29.7549141838317
"2032-05",11.6002296755482,782.156916691707,0.142271510334592,36.4568294986384
"2032-06",10.0432934951872,756.756857065054,0.227956954696189,30.2579262312065
"2032-07",340.096708311467,850.726437299679,35.5091406686719,98.5503306321334
"2032-08",346.231983101461,1012.43719325921,66.0962229295154,108.203211380169
"2032-09",209.025155275594,1110.44153614533,33.3493502418535,108.383917956962
"2032-10",40.3885095163787,1063.24349584335,4.02244912765381,100.485295336694
"2032-11",5.34171280915512,970.066245054587,0.0975490419902619,59.5083060405159
"2032-12",31.1054507675181,926.092589549529,0.489953273256123,48.4319226692605
"2033-01",1.48615942268862,891.706892747145,0.0202107158628895,36.8143734347541
"2033-02",0.108449201577668,857.156587258363,0.00184241953816465,27.9033218423137
"2033-03",0.475848332513276,828.106378017328,0.0117759378051884,26.6052466467954
"2033-04",4.87038710456034,800.947149814703,0.0403359854919982,29.0969934663735
"2033-05",10.291794082741,774.054624117338,0.132775951638947,36.5042829886079
"2033-06",225.069702282781,785.199509058243,31.0377992864407,47.2139922327187
"2033-07",301.315882714698,964.689241849459,46.439485818085,112.435745613766
"2033-08",316.024523042142,1077.7419918745,60.5784985382343,109.207644252456
"2033-09",273.991737441975,1156.62014535757,51.3892200486645,90.869055580697
"2033-10",71.2019059195882,1109.78414682242,6.22603879271712,97.4046789837303
"2033-11",64.4129623256958,1025.13119428586,2.40065985174344,67.7493636598228
"2033-12",22.0824731884932,1003.22966433794,0.438412519875223,62.2667601208377
"2034-01",19.9816488549004,958.685678335337,0.357435695377717,56.165457321913
"2034-02",15.5056407658776,911.80654672476,0.226232110476505,53.6542695881508
"2034-03",4.43842730571191,868.196292192508,0.0527558868120068,47.1064668607141
"2034-04",7.34320090593883,827.288768279247,0.0601198796542891,40.5612153816037
"2034-05",3.07729720195482,794.094092735877,0.0218479256049752,30.0321610575338
"2034-06",56.1379479206153,770.761926895533,0.968802366851553,52.0539255390759
"2034-07",334.921938175103,863.349676670172,37.1829351206543,104.71304886014
"2034-08",278.705847452511,1035.61448943309,47.7310927278897,101.7670930858
"2034-09",140.435199110652,1080.08697353265,18.0061788893139,113.801285883528
"2034-10",42.1816215814033,1011.75405492538,1.44874286696414,98.4489841503091
"2034-11",33.0563072682708,936.432282276643,0.638225054540971,51.9210729762563
"2034-12",47.4313509697822,948.81876158103,1.34477620494741,62.8059540104005
"2035-01",0.956031925498113,892.765834710537,0.0119988779442304,44.2702432301303
"2035-02",1.42291959719691,851.976675180288,0.0142792213585571,38.7235323352797
"2035-03",1.90170801281564,815.869182880108,0.0217873321652287,34.8787141192588
"2035-04",2.60776991188294,783.693299904848,0.0221863474739651,31.1984994377781
"2035-05",0.775996184611558,756.702508388422,0.0126546395218754,25.1065976373866
"2035-06",109.850502724294,744.246060102414,7.28758955084721,38.3817357818771
"2035-07",328.283657570137,863.618437938201,41.6430553674358,112.690037691209
"2035-08",419.872909295373,1101.48873666617,74.5567196029767,86.4527035781066
"2035-09",185.985193445231,1138.11477582883,42.361307002116,115.725862424006
"2035-10",41.6880532679897,1042.10470659305,5.23008691290163,86.3011976529379
"2035-11",54.5814672908818,977.231784918369,1.59062007184091,60.9876015514601
"2035-12",30.1823073389642,949.801026955629,0.77452124591778,56.8928262408008
